  edad	peso	altura	sexo 	muneca 	biceps
43	87.3	188.0	Hombre	12.2	35.8
65	80.0	174.0	Hombre	12.0	35.0
45	82.3	176.5	Hombre	11.2	38.5
37	73.6	180.3	Hombre	11.2	32.2
55	74.1	167.6	Hombre	11.8	32.9
33	85.9	188.0	Hombre	12.4	38.5
25	73.2	180.3	Hombre	10.6	38.3
35	76.3	167.6	Hombre	11.3	35.0
28	65.9	183.0	Hombre	10.2	32.1
26	90.9	183.0	Hombre	12.0	40.4
43	89.1	179.1	Hombre	11.3	36.5
30	62.3	170.2	Hombre	11.5	34.2
26	82.7	177.8	Hombre	11.5	35.2
51	79.1	179.1	Hombre	11.8	34.0
30	98.2	190.5	Hombre	10.7	34.8
24	84.1	177.8	Hombre	11.5	38.6
35	83.2	180.3	Hombre	11.1	36.4
37	83.2	180.3	Hombre	10.5	34.0

