_unit_id,relevance,relevance:variance,product_image,product_link,product_price,product_title,query,rank,source,url,
711158459,3.67,0.471,http://thumbs2.ebaystatic.com/d/l225/m/mzvzEUIknaQclZ801YCY1ew.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/321459436277?pt=LH_DefaultDomain_0&hash=item4ad879baf5,$329.98 ,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158460,4,0,http://thumbs3.ebaystatic.com/d/l225/m/mJNDmSyIS3vUasKIJEBy4Cw.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/131467224962?pt=LH_DefaultDomain_0&hash=item1e9c0ea782,$324.84 ,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158461,4,0,http://thumbs4.ebaystatic.com/d/l225/m/m10NZXArmiIkpkTDDkAUVvA.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-500-GB-Jet-Black-Console-/171564913575?pt=LH_DefaultDomain_0&hash=item27f210d3a7,$324.83 ,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4,3,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158462,3.67,0.471,http://thumbs2.ebaystatic.com/d/l225/m/mZZXTmAE8WZDH1l_E_PPAkg.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-The-Last-of-Us-Remastered-Bundle-Black-/261867581805?pt=LH_DefaultDomain_0&hash=item3cf886316d,$350.00 ,Sony - PlayStation 4 500GB The Last of Us Remastered Bundle - Black,playstation 4,4,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158463,3.33,0.471,http://thumbs3.ebaystatic.com/d/l225/m/mzvzEUIknaQclZ801YCY1ew.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/121512215166?pt=LH_DefaultDomain_0&hash=item1c4ab1427e,$308.00 ,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,5,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158464,3.2,0.748,http://thumbs4.ebaystatic.com/d/l225/m/mzvzEUIknaQclZ801YCY1ew.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/321739452651?pt=LH_DefaultDomain_0&hash=item4ae92a70eb,$310.00 ,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,6,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158465,4,0,http://thumbs4.ebaystatic.com/d/l225/m/m9TQTiWcWig7SeQh9algLZg.jpg,http://www.ebay.com/itm/BRAND-NEW-Sony-PlayStation-4-BUNDLE-500gb-/281672602591?pt=LH_DefaultDomain_0&hash=item4194fed3df,$910.00 ,BRAND NEW Sony PlayStation 4 BUNDLE 500gb,playstation 4,7,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158466,4,0,http://thumbs4.ebaystatic.com/d/l225/m/mTZYG5N6xWfBi4Ok03HmpMw.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-Dualshock-Wireless-Control-HDMI-Gaming-Console-Refurb-/291398220855?pt=LH_DefaultDomain_0&hash=item43d8affc37,$299.99 ,"Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb",playstation 4,8,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158467,3.75,0.433,http://thumbs2.ebaystatic.com/d/l225/m/mX5Qphrygqeoi7tAH5eku2A.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-w-2-Controllers-/191563117865?pt=LH_DefaultDomain_0&hash=item2c9a0d3529,$350.00 ,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console w/ 2 Controllers,playstation 4,9,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
711158468,2.33,0.471,http://thumbs2.ebaystatic.com/d/l225/m/mGjN4IrJ0O8kKD_TYMWgGgQ.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-NEW-/191323651417?pt=LH_DefaultDomain_0&hash=item2c8bc73d59,$469.97 ,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4,10,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,
