,_unit_id,relevance,relevance:variance,product_price,query,rank,source,invoice
0,711158459,3.67,0.47100000000000003,$329.98 ,playstation 4,1,eBay,9511
1,711158460,4.0,0.0,$324.84 ,playstation 4,2,eBay,13986
2,711158461,4.0,0.0,$324.83 ,playstation 4,3,eBay,22185
3,711158462,3.67,0.47100000000000003,$350.00 ,playstation 4,4,eBay,24216
4,711158463,3.33,0.47100000000000003,$308.00 ,playstation 4,5,eBay,7992
5,711158464,3.2,0.748,$310.00 ,playstation 4,6,eBay,13108
6,711158465,4.0,0.0,$910.00 ,playstation 4,7,eBay,17574
7,711158466,4.0,0.0,$299.99 ,playstation 4,8,eBay,16471
8,711158467,3.75,0.433,$350.00 ,playstation 4,9,eBay,10984
9,711158468,2.33,0.47100000000000003,$469.97 ,playstation 4,10,eBay,6364
10,711158469,4.0,0.0,$390.00 ,playstation 4,11,eBay,24238
11,711158470,4.0,0.0,$289.99 ,playstation 4,12,eBay,26720
12,711158471,3.33,0.47100000000000003,$443.60 ,playstation 4,13,eBay,13229
13,711158472,3.0,0.894,$349.99 ,playstation 4,14,eBay,9072
14,711158473,3.4,0.8,$285.00 ,playstation 4,15,eBay,2097
15,711158474,4.0,0.0,$399.99 ,playstation 4,16,eBay,14312
16,711158475,2.8,1.166,$285.00 ,playstation 4,17,eBay,5464
17,711158476,4.0,0.0,$340.00 ,playstation 4,18,eBay,2374
18,711158477,3.0,0.0,$389.99 ,playstation 4,19,eBay,17924
19,711158478,2.33,0.47100000000000003,$399.99 ,playstation 4,20,eBay,1714
20,711158479,4.0,0.0,$380.00 ,playstation 4,21,eBay,23661
21,711158480,4.0,0.0,$360.00 ,playstation 4,22,eBay,3490
22,711158481,4.0,0.0,$285.00 ,playstation 4,23,eBay,24145
23,711158482,4.0,0.0,$315.00 ,playstation 4,24,eBay,8961
24,711158483,4.0,0.0,$467.20 ,playstation 4,25,eBay,4454
25,711158484,4.0,0.0,$8.99 ,eye cream,1,eBay,25864
26,711158485,3.4,0.8,$49.72 ,eye cream,2,eBay,2216
27,711158486,4.0,0.0,$28.79 ,eye cream,3,eBay,25595
28,711158487,3.75,0.433,$19.79 ,eye cream,4,eBay,25109
29,711158488,4.0,0.0,$49.00 ,eye cream,5,eBay,26381
30,711158489,4.0,0.0,$8.96 ,eye cream,6,eBay,5413
31,711158490,4.0,0.0,$29.00 ,eye cream,7,eBay,9829
32,711158491,4.0,0.0,$5.89 ,eye cream,8,eBay,16157
33,711158492,3.67,0.47100000000000003,$34.99 ,eye cream,9,eBay,6392
34,711158493,3.75,0.433,$8.99 ,eye cream,10,eBay,29512
35,711158494,4.0,0.0,$21.97 ,eye cream,11,eBay,10350
36,711158495,4.0,0.0,$23.50 ,eye cream,12,eBay,12291
37,711158496,4.0,0.0,$9.99 ,eye cream,13,eBay,26804
38,711158497,4.0,0.0,$13.98 ,eye cream,14,eBay,9297
39,711158498,3.4,0.8,$9.19 ,eye cream,15,eBay,2046
40,711158499,3.0,0.894,$9.99 ,eye cream,16,eBay,23257
41,711158500,4.0,0.0,$49.71 ,eye cream,17,eBay,8622
42,711158501,4.0,0.0,$8.88 ,eye cream,18,eBay,25825
43,711158502,4.0,0.0,$19.50 ,eye cream,19,eBay,14566
