portafolio	calificacion	volumen	precio 
Cartera	190	130	51
Cartera	186	131	50
Cartera	201	136	53
Cartera	172	128	50
Cartera	170	128	49
Cartera	161	118	48
Cartera	186	134	54
Cartera	185	130	51
Cartera	173	131	52
Cartera	163	115	48
Cartera	184	129	51
Cartera	170	132	53
Cartera	162	119	49
Equity	186	108	49
Equity	211	120	49
Equity	201	144	46
Equity	241	131	54
Equity	184	109	44
Equity	210	117	51
Equity	218	122	50
Equity	223	126	51
Equity	208	125	50
Equity	198	124	47
Equity	242	130	52
Equity	211	116	50
Equity	185	110	46
